idx,rel_path,in_path,out_path,orig_fs,used_fs,channel_idx,env_file,range_m,src_z,rcv_z,Npaths,power_db
1,train\ClassA\dredger\train_ClassA_dredger_id80_seg000.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id80_seg000.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id80_seg000.wav,16000,16000,18,env_020_munk_H1000_R2000_mud.arr,2000.00,100.00,10.00,2,1.347
2,train\ClassA\dredger\train_ClassA_dredger_id80_seg001.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id80_seg001.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id80_seg001.wav,16000,16000,29,env_022_munk_H1000_R5000_mud.arr,5000.00,100.00,10.00,2,1.923
3,train\ClassA\dredger\train_ClassA_dredger_id80_seg002.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id80_seg002.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id80_seg002.wav,16000,16000,55,env_045_summer_shallow_H1000_R5000_sand.arr,5000.00,100.00,10.00,2,0.062
4,train\ClassA\dredger\train_ClassA_dredger_id93_seg003.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id93_seg003.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id93_seg003.wav,16000,16000,118,env_093_deep_channel_H1000_R5000_sand.arr,5000.00,100.00,10.00,2,2.366
5,train\ClassA\dredger\train_ClassA_dredger_id94_seg004.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id94_seg004.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id94_seg004.wav,16000,16000,22,env_020_munk_H1000_R2000_mud.arr,2000.00,100.00,10.00,2,2.981
6,train\ClassA\dredger\train_ClassA_dredger_id94_seg005.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id94_seg005.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id94_seg005.wav,16000,16000,39,env_033_summer_shallow_H200_R500_sand.arr,500.00,100.00,10.00,2,2.872
7,train\ClassA\dredger\train_ClassA_dredger_id96_seg006.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id96_seg006.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id96_seg006.wav,16000,16000,14,env_019_munk_H1000_R2000_sand.arr,2000.00,100.00,10.00,2,2.831
8,train\ClassA\dredger\train_ClassA_dredger_id96_seg007.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id96_seg007.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id96_seg007.wav,16000,16000,89,env_073_deep_channel_H50_R500_sand.arr,500.00,49.00,10.00,2,2.984
9,train\ClassA\dredger\train_ClassA_dredger_id96_seg008.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id96_seg008.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id96_seg008.wav,16000,16000,114,env_092_deep_channel_H1000_R2000_mud.arr,2000.00,100.00,10.00,2,2.985
10,train\ClassA\fishing\train_ClassA_fishing_id73_seg000.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id73_seg000.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id73_seg000.wav,16000,16000,64,env_048_summer_shallow_H1000_R10000_mud.arr,10000.00,100.00,10.00,1,0.000
11,train\ClassA\fishing\train_ClassA_fishing_id73_seg001.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id73_seg001.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id73_seg001.wav,16000,16000,101,env_085_deep_channel_H200_R5000_sand.arr,5000.00,100.00,10.00,1,0.000
12,train\ClassA\fishing\train_ClassA_fishing_id73_seg002.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id73_seg002.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id73_seg002.wav,16000,16000,67,env_057_winter_shallow_H200_R500_sand.arr,500.00,100.00,10.00,2,2.599
13,train\ClassA\fishing\train_ClassA_fishing_id73_seg003.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id73_seg003.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id73_seg003.wav,16000,16000,45,env_043_summer_shallow_H1000_R2000_sand.arr,2000.00,100.00,10.00,2,1.533
14,train\ClassA\fishing\train_ClassA_fishing_id73_seg004.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id73_seg004.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id73_seg004.wav,16000,16000,131,env_096_deep_channel_H1000_R10000_mud.arr,10000.00,100.00,10.00,1,0.000
15,train\ClassA\fishing\train_ClassA_fishing_id73_seg005.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id73_seg005.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id73_seg005.wav,16000,16000,100,env_084_deep_channel_H200_R2000_mud.arr,2000.00,100.00,10.00,2,1.576
16,train\ClassA\fishing\train_ClassA_fishing_id73_seg006.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id73_seg006.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id73_seg006.wav,16000,16000,130,env_096_deep_channel_H1000_R10000_mud.arr,10000.00,100.00,10.00,1,0.000
17,train\ClassA\fishing\train_ClassA_fishing_id73_seg007.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id73_seg007.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id73_seg007.wav,16000,16000,28,env_022_munk_H1000_R5000_mud.arr,5000.00,100.00,10.00,1,0.000
18,train\ClassA\fishing\train_ClassA_fishing_id74_seg008.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id74_seg008.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id74_seg008.wav,16000,16000,83,env_069_winter_shallow_H1000_R5000_sand.arr,5000.00,100.00,10.00,1,0.000
19,train\ClassA\fishing\train_ClassA_fishing_id74_seg009.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id74_seg009.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id74_seg009.wav,16000,16000,106,env_091_deep_channel_H1000_R2000_sand.arr,2000.00,100.00,10.00,2,2.976
20,train\ClassA\fishing\train_ClassA_fishing_id74_seg010.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id74_seg010.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id74_seg010.wav,16000,16000,126,env_095_deep_channel_H1000_R10000_sand.arr,10000.00,100.00,10.00,1,0.000
21,train\ClassA\fishing\train_ClassA_fishing_id74_seg011.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id74_seg011.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id74_seg011.wav,16000,16000,52,env_044_summer_shallow_H1000_R2000_mud.arr,2000.00,100.00,10.00,2,2.890
22,train\ClassA\fishing\train_ClassA_fishing_id74_seg012.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id74_seg012.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id74_seg012.wav,16000,16000,4,env_004_munk_H50_R2000_mud.arr,2000.00,49.00,10.00,3,1.106
23,train\ClassA\fishing\train_ClassA_fishing_id74_seg013.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id74_seg013.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id74_seg013.wav,16000,16000,73,env_067_winter_shallow_H1000_R2000_sand.arr,2000.00,100.00,10.00,2,2.295
